issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,"Your access to the Claude team workspace can be restored by an Owner or Admin of your organization. They need to go to Organization settings > Organization, find your name, click the dropdown under 'Seat Type', and select 'Enterprise seat' to reassign you. As you are not the workspace owner or admin, you will need to contact one of them to perform this action for you.",admin-management,replied,product_issue,"The user's access was removed by an admin. The provided context explains that only an Owner or Admin can restore a member's access by reassigning a seat. The user explicitly states they are not an admin, so they need to contact their organization's admin."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"HackerRank for Work is a recruiting platform where companies or recruiters directly own the tests and HackerRank does not have any control over the same. We are unable to review your answers, increase your score, or instruct the company on their hiring decisions. For any disputes regarding your test score, or to request a review of your test attempt, you will need to contact the company that administered the test directly.",Candidate Support,replied,invalid,"The corpus clearly states that HackerRank does not own the tests or control hiring decisions, and candidates must contact the company directly for test-related issues."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,We could not process your request automatically. A support agent will assist you shortly.,General Support,escalated,product_issue,Model failed to produce a valid response.
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,I understand your mock interview stopped unexpectedly and you are requesting a refund. The provided support documentation does not cover troubleshooting for interviews stopping in progress or the process for issuing refunds. This issue requires further investigation by a specialized team.,Mock Interviews,escalated,bug,The user's issue regarding a mock interview stopping in between and the request for a refund are not covered by the provided support corpus. Refund requests are sensitive and require escalation.
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,We could not process your request automatically. A support agent will assist you shortly.,General Support,escalated,product_issue,Model failed to produce a valid response.
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,We could not process your request automatically. A support agent will assist you shortly.,General Support,escalated,product_issue,Model failed to produce a valid response.
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,We could not process your request automatically. A support agent will assist you shortly.,General Support,escalated,product_issue,Model failed to produce a valid response.
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,We could not process your request automatically. A support agent will assist you shortly.,General Support,escalated,product_issue,Model failed to produce a valid response.
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,We could not process your request automatically. A support agent will assist you shortly.,General Support,escalated,product_issue,Model failed to produce a valid response.
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,We could not process your request automatically. A support agent will assist you shortly.,General Support,escalated,product_issue,Model failed to produce a valid response.
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?
",Candidate inactivity help,HackerRank,We could not process your request automatically. A support agent will assist you shortly.,General Support,escalated,product_issue,Model failed to produce a valid response.
"it’s not working, help",Help needed,None,We could not process your request automatically. A support agent will assist you shortly.,General Support,escalated,product_issue,Model failed to produce a valid response.
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,HackerRank,We could not process your request automatically. A support agent will assist you shortly.,General Support,escalated,product_issue,Model failed to produce a valid response.
"Hi, please pause our subscription. We have stopped all hiring efforts for now.
",Subscription pause,HackerRank,We could not process your request automatically. A support agent will assist you shortly.,General Support,escalated,product_issue,Model failed to produce a valid response.
"Claude has stopped working completely, all requests are failing",Claude not responding,Claude,We could not process your request automatically. A support agent will assist you shortly.,General Support,escalated,product_issue,Model failed to produce a valid response.
