issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,"Your access to the Claude team workspace can only be restored by an Owner or Admin of your organization. When an IT admin removes your seat, they typically 'unassign' you, which temporarily removes your access without fully removing you from the organization. To restore your access, an Owner or Admin needs to go to Organization settings > Organization, find your name, click the dropdown under Seat Type, and select 'Enterprise seat'. Please reach out to your IT admin or an Owner/Admin of your Claude organization to request that they reassign an Enterprise seat to you.",admin-management,replied,product_issue,The user's access was removed by an admin. The provided document explains that only an admin or owner can restore access by reassigning an 'Enterprise seat'. The response directs the user to contact their admin with the correct steps.
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"HackerRank for Work is a recruiting platform where companies or recruiters directly own the tests and HackerRank does not have any control over the same. We are unable to review your answers, increase your score, or instruct the company on their hiring decisions. For any disputes regarding your test score, or to request a review of your test attempt, you will need to contact the company that administered the test directly.",Candidate Support,replied,invalid,"The corpus clearly states that HackerRank does not own the tests or control hiring decisions, and candidates must contact the company directly for test-related issues."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,"Visa does not set up, service, or have access to cardholder or merchant accounts, as these are managed by our client financial institutions (your bank). Therefore, for a refund or to dispute a transaction where you received the wrong product, you will need to contact your Visa card issuer (your bank) directly. If you have general concerns involving a merchant, you can also take action by filling out the form available at /Forms/visa-rules.html.",Merchant,replied,product_issue,The corpus explicitly states that Visa does not handle cardholder accounts or refunds directly and directs users to their card issuer (bank) for such issues. It also provides a form for general merchant concerns.
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,I understand your mock interview stopped unexpectedly and you are requesting a refund. The provided support documentation does not cover troubleshooting for interviews stopping in progress or the process for issuing refunds. This issue requires further investigation by a specialized team.,Mock Interviews,escalated,bug,The user's issue regarding a mock interview stopping in between and the request for a refund are not covered by the provided support corpus. Refund requests are sensitive and require escalation.
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,"We understand you're experiencing an issue with your payment for order ID: cs_live_abcdefgh. As this involves a payment dispute, we need to escalate your request to the appropriate team for further investigation and assistance. Please provide any additional details you have regarding the payment issue.",subscriptions-payments-and-billing,escalated,product_issue,"The user is reporting a payment issue and requesting money, which falls under billing disputes and refunds, requiring escalation as per the guidelines. The provided corpus does not offer a direct resolution path for this type of general payment issue or refund request."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"We understand you need assistance with your company's infosec process and require forms to be filled out. This type of request typically involves detailed security documentation and may require specific internal teams to address. Please contact HackerRank Support directly via email at support@hackerrank.com, and our team will guide you on the appropriate process for such requests.",Security & Compliance,escalated,product_issue,The user's request to fill out infosec forms is a specialized administrative task not covered by the provided support corpus. It requires escalation to a dedicated support channel for proper handling.
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,"If you are a candidate in an interview and cannot see a tab, it is likely that the interviewer has not yet unlocked it. When a candidate joins an interview, they see a blank screen until the interviewer unlocks a tab. Once a question tab is unlocked, you will be able to view and interact with it. Please communicate with your interviewer to have them unlock the necessary tab.",interviews,replied,product_issue,The user is a candidate unable to see a tab. Document 1 directly addresses this by explaining that interview tabs are locked by default and must be unlocked by the interviewer for the candidate to see them.
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"If you are experiencing issues with submissions not working across challenges, it's possible that the browser-level cache may be preventing you from retrying or submitting the test correctly. To overcome this, please try accessing the test in a new browser window.",Screen,replied,product_issue,"The user is reporting an issue with submissions not working. Document 3 provides a troubleshooting step for test trials where browser cache can prevent retries, which is the most relevant information for this type of submission issue."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"When you encounter compatibility issues during the setup process, the platform checks your system compatibility and displays any detected issues on the setup screen. To resolve the Zoom connectivity issue you are facing, please review the detected issues on this screen and select the ""See Fix"" option to get guidance on how to resolve them.",general-help,replied,product_issue,"The user is experiencing a compatibility issue preventing them from taking a test. Document 3 provides a direct instruction to review detected issues on the setup screen and select 'See Fix' to resolve them, which is applicable to the user's situation."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"To request a rescheduling of your HackerRank assessment, you should reach out directly to the recruiting team of the company that invited you. The assessment invitation email typically includes a contact email for their recruiting team (e.g., recruiting@CompanyName.com) for any questions about the recruiting process. HackerRank support primarily assists with technical issues related to accessing or completing the challenges.",Candidate Support,replied,product_issue,"The user is a candidate requesting to reschedule an assessment. The provided context (Document 1) indicates that candidates should contact the inviting company's recruiting team for questions about the recruiting process, as HackerRank support handles technical issues."
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?
",Candidate inactivity help,HackerRank,"Thank you for reaching out. Based on our available documentation, candidates are automatically moved back to the lobby when all interviewers leave the interview. However, our current resources do not specify any inactivity timeout periods for candidates or interviewers, nor do they provide instructions on how to configure or extend such times. The scenario you described, where candidates are sent back to the lobby after 20 minutes while interviewers are present but screen-sharing, is not explicitly covered as a reason for this action in our documentation. We recommend escalating this to our technical team for further investigation into the specific inactivity settings and behavior you are observing.",Interviews,escalated,product_issue,"The provided corpus does not contain information about specific inactivity timeout durations for candidates or interviewers, nor does it offer steps to configure or extend them. The documented reason for a candidate moving to the lobby (all interviewers leaving) does not fully align with the user's reported scenario of interviewers being present but inactive on the screen. Therefore, the issue requires escalation for further investigation."
"it’s not working, help",Help needed,None,"To help us understand and resolve your issue, please provide more details. Could you tell us which product or feature is not working, what specific actions you were trying to perform, and any error messages you encountered?",General,replied,product_issue,"The user's issue 'it’s not working, help' is too vague to provide a specific solution from the provided corpus. The response requests more information to identify the product and specific problem."
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,HackerRank,"To remove an interviewer (team member) from the platform, you need to:
1. Locate the user in the list of team members.
2. Select the delete icon in the Action column next to their name.",teams_management,replied,product_issue,"The user is asking how to remove an interviewer, which is equivalent to removing a team member. Document 2 provides direct, step-by-step instructions for 'Removing a team member'."
"Hi, please pause our subscription. We have stopped all hiring efforts for now.
",Subscription pause,HackerRank,"You can temporarily pause your HackerRank subscription if you meet the prerequisites. To do so, you must have an active monthly subscription (Individual Monthly - Basic or Interview Monthly plan) that started at least 30 days ago. If you meet these conditions, follow these steps:
1. Click on the **profile icon** in the top-right corner of the page.
2. Select **Settings** from the dropdown menu.
3. Navigate to the **Billing** section under **Subscription**.",Subscription Management,replied,product_issue,"The user requested to pause their subscription, and Document 1 provides direct instructions and prerequisites for the 'Pause Subscription' feature."
"Claude has stopped working completely, all requests are failing",Claude not responding,Claude,"It sounds like you're experiencing an API connection error, which can cause all requests to fail. This usually indicates an issue on your end, potentially related to your firewall, network, or VPN. Please try the following steps:

1. Check if there are any firewall rules or network restrictions blocking the connection to the Claude API endpoint.
2. Configure your firewall or network settings to allow the connection.
3. Ensure you're not using a VPN when running the request.

If these steps do not resolve the issue, you can contact our Support team for further assistance by clicking on the message icon in the bottom right of our Help Center, or by clicking your initials in the lower left corner of your Claude Console account, then ""Get help.""",Claude API and Console,replied,product_issue,"The user's issue of 'Claude not responding' and 'all requests are failing' directly matches the symptoms of an API connection error described in Document 2, which provides specific troubleshooting steps."
"My identity has been stolen, wat should I do",Identity Theft,Visa,"If your identity theft involves your Visa card, please visit our Lost or Stolen card page to learn how to cancel your card or get an emergency replacement card. Visa does not call or email cardholders and request personal information, so if you receive such a request, do not provide it and report the scam by contacting us.",Security,replied,product_issue,"The corpus directly addresses identity theft involving a Visa card and provides a clear action for the user to take, including a link to the relevant page."
Resume Builder is Down,Help in creating resume,HackerRank,"The HackerRank Resume Builder is currently being rolled out gradually. It is active for a limited percentage of the Community and will be expanded to additional users soon. If you are unable to access it, it might be because the feature has not yet been enabled for your account. You can create a resume by logging into HackerRank Community, clicking the App Switcher (grid icon) in the top-right corner, and selecting Resume Builder from the dropdown menu. Then, click 'Create New' and choose a template, or import an existing resume in .doc, .docx, or .pdf format.",Job Search and Applications,replied,product_issue,"The user reported the Resume Builder is down. The corpus indicates the feature is active for only 2% of the community and will be expanded, suggesting it's not down but rather not universally available. The response explains this and provides steps for using it if available."
"Hello, I have completed an assessment, but my name is incorrect on the certificate. Can you please update it
",Certificate name update,HackerRank,"Yes, you can update the name on your certificate once per account. This change will apply to all your certificates and cannot be changed again after the update. To update the name on your certificate, please follow these steps:

1. Open your certificate page.
2. In the Full Name field, enter the name you want to display.
3. Click Regenerate Certificate.
4. In the confirmation dialog, click Update Name.

The platform will then update your certificate with the new name.",Certifications,replied,product_issue,"The user's issue is about updating the name on a certificate. Document 1 directly addresses this with clear, step-by-step instructions on how to perform the update."
How do I dispute a charge,Dispute charge,Visa,"To dispute a charge, please contact your issuer or bank. You can find the freephone number (only free when dialling from within the USA) located on the front or back of your Visa card. Your issuer or bank will likely require detailed information regarding the transaction before they can resolve the disputed charge.",Credit cards,replied,product_issue,"The response directly answers the user's question on how to dispute a charge by referring them to their card issuer or bank, as specified in the 'How do I dispute a charge?' FAQ section of the provided support document."
"I have found a major security vulnerability in Claude, what are the next steps",Bug bounty,Claude,"Thank you for reporting this. We take security vulnerabilities very seriously. Since this is a critical security concern, I am escalating your issue to our specialized security team for immediate review. They will contact you directly with the next steps.",Security,escalated,bug,The user reported a major security vulnerability. The provided corpus does not contain information on how users can report security vulnerabilities or details about a bug bounty program. This is a high-risk issue requiring escalation to a specialized team.
